,a,e,i,o,u,p,t,k,b,d,g,l,m,n,N,f,s,x,C,r,R,L,A,E,I,O,U,#
a,0,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5
e,2,0,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5
i,2,1,0,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5
o,3,3,3,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5
u,3,3,3,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5
p,4,4,4,4,4,0,1,1,1,2,2,3,2,3,3,2,2,2,2,3,3,3,5,5,5,5,5,5
t,4,4,4,4,4,1,0,1,2,1,2,2,3,2,3,2,1,2,2,2,2,3,5,5,5,5,5,5
k,4,4,4,4,4,1,1,0,2,2,1,3,3,3,3,2,2,1,2,3,3,3,5,5,5,5,5,5
b,4,4,4,4,4,1,2,2,0,1,1,2,1,2,2,3,3,3,3,2,2,2,5,5,5,5,5,5
d,4,4,4,4,4,2,1,2,1,0,1,2,2,1,2,3,2,3,3,1,1,2,5,5,5,5,5,5
g,4,4,4,4,4,2,2,1,1,1,0,2,2,2,2,3,3,2,3,2,2,2,5,5,5,5,5,5
l,4,4,4,4,4,3,2,3,2,2,2,0,2,1,2,3,2,3,3,1,1,1,5,5,5,5,5,5
m,4,4,4,4,4,2,3,3,1,2,2,2,0,1,1,3,3,3,3,2,2,2,5,5,5,5,5,5
n,4,4,4,4,4,3,2,3,2,1,2,1,1,0,1,3,2,3,3,1,1,2,5,5,5,5,5,5
N,4,4,4,4,4,3,3,3,2,2,2,2,1,1,0,3,3,3,3,2,2,2,5,5,5,5,5,5
f,4,4,4,4,4,2,2,2,3,3,3,3,3,3,3,0,1,1,2,3,3,3,5,5,5,5,5,5
s,4,4,4,4,4,2,1,2,3,2,3,2,3,2,3,1,0,1,2,2,2,3,5,5,5,5,5,5
x,4,4,4,4,4,2,2,1,3,3,2,3,3,3,3,1,1,0,2,3,3,3,5,5,5,5,5,5
C,4,4,4,4,4,2,2,2,3,3,3,3,3,3,3,2,2,2,0,3,3,3,5,5,5,5,5,5
r,4,4,4,4,4,3,2,3,2,1,2,1,2,1,2,3,2,3,3,0,1,2,5,5,5,5,5,5
R,4,4,4,4,4,3,2,3,2,1,2,1,2,1,2,3,2,3,3,1,0,2,5,5,5,5,5,5
L,4,4,4,4,4,3,3,3,2,2,2,1,2,2,2,3,3,3,3,2,2,0,5,5,5,5,5,5
A,1,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,2,2,3,3,5
E,3,1,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,0,1,3,3,5
I,3,2,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,0,3,3,5
O,4,4,4,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,0,1,5
U,4,4,4,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,1,0,5
#,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0